line	trial	heading date
'04AB074-15'	PYN-2_2006_Aberdeen	61
'04AB074-15'	PYN-2_2006_SodaSprings	60
'04AB074-15'	PYN-2_2006_Tetonia	62
'04AB074-10'	PYN-2_2006_Aberdeen	62
'04AB074-10'	PYN-2_2006_SodaSprings	60
'04AB074-10'	PYN-2_2006_Tetonia	64
'04AB035-35'	PYN-2_2006_Aberdeen	63
'04AB035-35'	PYN-2_2006_SodaSprings	61
'04AB035-35'	PYN-2_2006_Tetonia	65
'04AB088-46'	PYN-2_2006_Aberdeen	61
'04AB088-46'	PYN-2_2006_SodaSprings	59
'04AB088-46'	PYN-2_2006_Tetonia	68
'04AB055-35'	PYN-2_2006_Aberdeen	67
'04AB055-35'	PYN-2_2006_SodaSprings	62
'04AB055-35'	PYN-2_2006_Tetonia	69
'04AB048-51'	PYN-2_2006_Aberdeen	60
'04AB048-51'	PYN-2_2006_SodaSprings	60
'04AB048-51'	PYN-2_2006_Tetonia	64
'04AB033-67'	PYN-2_2006_Aberdeen	61
'04AB033-67'	PYN-2_2006_SodaSprings	61
'04AB033-67'	PYN-2_2006_Tetonia	62
'04AB002-54'	PYN-2_2006_Aberdeen	62
'04AB002-54'	PYN-2_2006_SodaSprings	62
'04AB002-54'	PYN-2_2006_Tetonia	64
'04AB031-31'	PYN-2_2006_Aberdeen	61
'04AB031-31'	PYN-2_2006_SodaSprings	62
'04AB031-31'	PYN-2_2006_Tetonia	62
'04AB045-22'	PYN-2_2006_Aberdeen	62
'04AB045-22'	PYN-2_2006_SodaSprings	60
'04AB045-22'	PYN-2_2006_Tetonia	62
'04AB093-78'	PYN-2_2006_Aberdeen	61
'04AB093-78'	PYN-2_2006_SodaSprings	62
'04AB093-78'	PYN-2_2006_Tetonia	64
'04AB093-63'	PYN-2_2006_Aberdeen	61
'04AB093-63'	PYN-2_2006_SodaSprings	61
'04AB093-63'	PYN-2_2006_Tetonia	62
'04AB092-34'	PYN-2_2006_Aberdeen	60
'04AB092-34'	PYN-2_2006_SodaSprings	60
'04AB092-34'	PYN-2_2006_Tetonia	63
'04AB092-34'	CAPWUE_2012_NormN-Irr_Aberdeen	167.5
'04AB092-34'	CAPWUE_2012_LowN-Irr_Aberdeen	165.999999999999
'04AB092-34'	CAPWUE_2013_NormN-Irr_Aberdeen	167
'04AB092-34'	CAPWUE_2013_LowN-Irr_Aberdeen	165
'04AB016-35'	PYN-2_2006_Aberdeen	65
'04AB016-35'	PYN-2_2006_SodaSprings	63
'04AB016-35'	PYN-2_2006_Tetonia	69
'04AB016-67'	PYN-2_2006_Aberdeen	61
'04AB016-67'	PYN-2_2006_SodaSprings	61
'04AB016-67'	PYN-2_2006_Tetonia	62
'04AB033-20'	PYN-2_2006_Aberdeen	62
'04AB033-20'	PYN-2_2006_SodaSprings	61
'04AB033-20'	PYN-2_2006_Tetonia	63
'04AB033-20'	CAPWUE_2012_NormN-Irr_Aberdeen	170
'04AB033-20'	CAPWUE_2012_LowN-Irr_Aberdeen	170.999999999999
'04AB033-20'	CAPWUE_2013_NormN-Irr_Aberdeen	170.5
'04AB033-20'	CAPWUE_2013_LowN-Irr_Aberdeen	170
'04AB002-75'	PYN-2_2006_Aberdeen	62
'04AB002-75'	PYN-2_2006_SodaSprings	62
'04AB002-75'	PYN-2_2006_Tetonia	64
'04AB083-35'	PYN-2_2006_Aberdeen	63
'04AB083-35'	PYN-2_2006_SodaSprings	62
'04AB083-35'	PYN-2_2006_Tetonia	63
'04AB098-34'	PYN-2_2006_Aberdeen	64
'04AB098-34'	PYN-2_2006_SodaSprings	62
'04AB098-34'	PYN-2_2006_Tetonia	68
'04AB098-34'	CAPWUE_2012_NormN-Irr_Aberdeen	172
'04AB098-34'	CAPWUE_2012_LowN-Irr_Aberdeen	171.999999999999
'04AB098-34'	CAPWUE_2013_NormN-Irr_Aberdeen	170
'04AB098-34'	CAPWUE_2013_LowN-Irr_Aberdeen	169
'HARRINGTON'	PYN-2_2006_Aberdeen	62
'HARRINGTON'	PYN-2_2006_SodaSprings	60
'HARRINGTON'	PYN-2_2006_Tetonia	61
'HARRINGTON'	CAP1_2006_Pullman	63
'HARRINGTON'	CAP2_2006_Pullman	64
'HARRINGTON'	CAP3_2006_Pullman	64
'HARRINGTON'	Expt12_2006_Carrington	66.3
'HARRINGTON'	Expt13_2006_Carrington	65.8
'HARRINGTON'	Expt12_2006_Minot	58.1
'HARRINGTON'	Expt13_2006_Minot	60
'HARRINGTON'	Expt12_2006_NessonValley	54.8
'HARRINGTON'	Expt13_2006_NessonValley	54.1
'HARRINGTON'	Expt12_2006_Sidney	57
'HARRINGTON'	Expt13_2006_Sidney	57
'HARRINGTON'	Expt12_2006_Williston	60.9
'HARRINGTON'	Expt13_2006_Williston	61
'HARRINGTON'	CAP-2_2007_Aberdeen	71
'HARRINGTON'	Expt41_2007_Langdon	55.7
'HARRINGTON'	Expt42_2007_Langdon	59.2
'HARRINGTON'	CAP1_2007_Genesee	71
'HARRINGTON'	CAP2_2007_Genesee	72
'HARRINGTON'	CAP3_2007_Genesee	70
'HARRINGTON'	CAP1_2007_Pullman	65
'HARRINGTON'	CAP2_2007_Pullman	66
'HARRINGTON'	CAP3_2007_Pullman	65
'HARRINGTON'	CAP-2_2008_Aberdeen	72
'HARRINGTON'	Expt41_2008_Fargo	62
'HARRINGTON'	Expt42_2008_Fargo	63.9
'HARRINGTON'	CAP1_2008_Genesee	60
'HARRINGTON'	CAP2_2008_Genesee	62
'HARRINGTON'	CAP3_2008_Genesee	62
'HARRINGTON'	CAP1_2008_Pullman	69
'HARRINGTON'	CAP2_2008_Pullman	70
'HARRINGTON'	CAP3_2008_Pullman	70
'HARRINGTON'	Expt41_2008_Langdon	68.3
'HARRINGTON'	Expt42_2008_Langdon	68.9
'HARRINGTON'	2201_2007_Fairfield06	68.17
'HARRINGTON'	2202_2007_Fairfield06	68.00
'HARRINGTON'	2203_2007_Fairfield06	68.17
'HARRINGTON'	2301_2007_Fairfield06	68.33
'HARRINGTON'	2301_2007_Fairfield	67
'HARRINGTON'	2401_2007_Fairfield	67
'HARRINGTON'	CAPN2_2007_FortCollins	100
'HARRINGTON'	CAPMT_2007_FortCollins	99
'HARRINGTON'	CAPWA_2007_FortCollins	103
'HARRINGTON'	2201_2007_IdahoFalls06	67
'HARRINGTON'	2202_2007_IdahoFalls06	67
'HARRINGTON'	2203_2007_IdahoFalls06	67
'HARRINGTON'	2301_2007_IdahoFalls06	67
'HARRINGTON'	2401_2007_Rexburg08	68.67
'HARRINGTON'	2301_2007_Rexburg	77.33
'HARRINGTON'	2401_2007_Rexburg	76.33
'HARRINGTON'	Expt13_2009_Carrington	66.7
'HARRINGTON'	Expt13_2009_Fargo	62
'HARRINGTON'	Expt41_2009_Fargo	60.7
'HARRINGTON'	Expt13_2009_Langdon	68.8
'HARRINGTON'	Expt41_2009_Langdon	68.6
'HARRINGTON'	Expt13_2009_Minot	68.4
'HARRINGTON'	Expt13_2009_Ray	66.7
'HARRINGTON'	Expt13_2009_Sidney	52.6
'HARRINGTON'	Expt13_2009_Williston	68.7
'HARRINGTON'	CAP1_2009_Pullman	63
'HARRINGTON'	CAP2_2009_Pullman	63
'HARRINGTON'	CAP3_2009_Pullman	63
'HARRINGTON'	PYT_2005_Huntley	176
'HARRINGTON'	CAPWUE_2013_NormN-Irr_Aberdeen	167.166666666667
'HARRINGTON'	CAPWUE_2013_LowN-Irr_Aberdeen	165.857142857143
'BARONESSE'	PYN-2_2006_Aberdeen	62
'BARONESSE'	PYN-2_2006_SodaSprings	60
'BARONESSE'	PYN-2_2006_Tetonia	65
'BARONESSE'	CAP1_2006_Pullman	62
'BARONESSE'	CAP2_2006_Pullman	63
'BARONESSE'	CAP3_2006_Pullman	63
'BARONESSE'	Expt12_2006_Carrington	65.7
'BARONESSE'	Expt13_2006_Carrington	65.7
'BARONESSE'	Expt12_2006_Minot	57.8
'BARONESSE'	Expt13_2006_Minot	58.7
'BARONESSE'	Expt12_2006_NessonValley	53.7
'BARONESSE'	Expt13_2006_NessonValley	53.9
'BARONESSE'	Expt12_2006_Sidney	56
'BARONESSE'	Expt13_2006_Sidney	57
'BARONESSE'	Expt12_2006_Williston	59
'BARONESSE'	Expt13_2006_Williston	59.6
'BARONESSE'	CAP-2_2007_Aberdeen	69
'BARONESSE'	Expt41_2007_Langdon	53.7
'BARONESSE'	Expt42_2007_Langdon	57.4
'BARONESSE'	CAP1_2007_Genesee	71
'BARONESSE'	CAP2_2007_Genesee	72
'BARONESSE'	CAP3_2007_Genesee	71
'BARONESSE'	CAP1_2007_Pullman	65
'BARONESSE'	CAP2_2007_Pullman	65
'BARONESSE'	CAP3_2007_Pullman	65
'BARONESSE'	CAP-2_2008_Aberdeen	72
'BARONESSE'	Expt41_2008_Fargo	63
'BARONESSE'	Expt42_2008_Fargo	61
'BARONESSE'	CAP1_2008_Genesee	61
'BARONESSE'	CAP2_2008_Genesee	62
'BARONESSE'	CAP3_2008_Genesee	61
'BARONESSE'	CAP1_2008_Pullman	70
'BARONESSE'	CAP2_2008_Pullman	70
'BARONESSE'	CAP3_2008_Pullman	70
'BARONESSE'	Expt41_2008_Langdon	66.5
'BARONESSE'	Expt42_2008_Langdon	67.1
'BARONESSE'	CAPN2_2007_FortCollins	99
'BARONESSE'	CAPMT_2007_FortCollins	100
'BARONESSE'	CAPAB_2007_FortCollins	98
'BARONESSE'	CAPWA_2007_FortCollins	97
'BARONESSE'	Expt13_2009_Carrington	65.3
'BARONESSE'	Expt13_2009_Fargo	61
'BARONESSE'	Expt41_2009_Fargo	61.1
'BARONESSE'	Expt13_2009_Langdon	67.8
'BARONESSE'	Expt41_2009_Langdon	65.8
'BARONESSE'	Expt13_2009_Minot	67.7
'BARONESSE'	Expt13_2009_Ray	65.6
'BARONESSE'	Expt13_2009_Sidney	51.7
'BARONESSE'	Expt13_2009_Williston	70.8
'BARONESSE'	CAP1_2009_Pullman	63
'BARONESSE'	CAP2_2009_Pullman	66
'BARONESSE'	CAP3_2009_Pullman	64
'BARONESSE'	PYT_2005_Huntley	177.5
'BARONESSE'	CAPWUE_2012_NormN-Irr_Aberdeen	169.916666666667
'BARONESSE'	CAPWUE_2012_LowN-Irr_Aberdeen	169.166666666666
'BARONESSE'	CAPWUE_2013_NormN-Irr_Aberdeen	166.166666666666
'BARONESSE'	CAPWUE_2013_LowN-Irr_Aberdeen	164.666666666667
'MERIT'	PYN-2_2006_Aberdeen	64
'MERIT'	PYN-2_2006_SodaSprings	62
'MERIT'	PYN-2_2006_Tetonia	65
'MERIT'	FHBN_2006_Crookston07	58.5
'MERIT'	FHBN_2006_Fargo	59
'MERIT'	FHBN_2006_Langdon	54
'MERIT'	2201_2007_Fairfield06	70.00
'MERIT'	2202_2007_Fairfield06	70.00
'MERIT'	2203_2007_Fairfield06	69.67
'MERIT'	2301_2007_Fairfield06	69.67
'MERIT'	2301_2007_Fairfield	71
'MERIT'	2401_2007_Fairfield	71
'MERIT'	CAPAB_2007_FortCollins	103
'MERIT'	2201_2007_IdahoFalls06	69
'MERIT'	2202_2007_IdahoFalls06	70
'MERIT'	2203_2007_IdahoFalls06	69
'MERIT'	2301_2007_IdahoFalls06	70
'MERIT'	2401_2007_Rexburg08	70.33
'MERIT'	2301_2007_Rexburg	79.00
'MERIT'	2401_2007_Rexburg	79.00
'03WA-182.12'	CAP1_2006_Pullman	59
'03WA-133.4'	CAP1_2006_Pullman	55
'03WA-199.1'	CAP1_2006_Pullman	59
'04WA-112.10'	CAP1_2006_Pullman	60
'03WA-199.4'	CAP1_2006_Pullman	57
'03WA-133.5'	CAP1_2006_Pullman	57
'04WA-116.18'	CAP1_2006_Pullman	60
'04WA-112.2'	CAP1_2006_Pullman	61
'04WA-112.11'	CAP1_2006_Pullman	61
'03WA-193.7'	CAP1_2006_Pullman	58
'04WA-116.15'	CAP1_2006_Pullman	60
'03WA-199.6'	CAP1_2006_Pullman	59
'04WA-116.16'	CAP1_2006_Pullman	59
'04WA-112.33'	CAP1_2006_Pullman	60
'04WA-112.8'	CAP1_2006_Pullman	61
'04WA-116.33'	CAP1_2006_Pullman	62
'03WA-104.7'	CAP1_2006_Pullman	60
'03WA-233.3'	CAP1_2006_Pullman	58
'04WA-112.21'	CAP1_2006_Pullman	60
'04WA-116.2'	CAP1_2006_Pullman	60
'03WA-137.10'	CAP1_2006_Pullman	63
'04WNZ-60'	CAP1_2006_Pullman	61
'04WA-123.40'	CAP1_2006_Pullman	64
'04WA-111.16'	CAP1_2006_Pullman	65
'03WA-208.4'	CAP1_2006_Pullman	56
'03WA-208.4'	CAPWUE_2012_NormN-Irr_Aberdeen	162
'03WA-208.4'	CAPWUE_2012_LowN-Irr_Aberdeen	161.999999999999
'03WA-208.4'	CAPWUE_2013_NormN-Irr_Aberdeen	161.5
'03WA-208.4'	CAPWUE_2013_LowN-Irr_Aberdeen	164
'04WA-111.8'	CAP1_2006_Pullman	62
'03WA-129.6'	CAP1_2006_Pullman	64
'04WA-121.4'	CAP1_2006_Pullman	65
'04WA-114.16'	CAP1_2006_Pullman	62
'04WA-114.16'	CAPWUE_2012_NormN-Irr_Aberdeen	167
'04WA-114.16'	CAPWUE_2012_LowN-Irr_Aberdeen	165.999999999999
'04WA-114.16'	CAPWUE_2013_NormN-Irr_Aberdeen	166
'04WA-114.16'	CAPWUE_2013_LowN-Irr_Aberdeen	167
'04WA-114.39'	CAP1_2006_Pullman	60
'04WA-118.19'	CAP1_2006_Pullman	62
'03WA-134.3'	CAP1_2006_Pullman	63
'ROBUST'	CAP1_2006_Pullman	59
'ROBUST'	CAP2_2006_Pullman	60
'ROBUST'	CAP3_2006_Pullman	59
'ROBUST'	Expt12_2006_Carrington	60.6
'ROBUST'	Expt13_2006_Carrington	62.8
'ROBUST'	Expt12_2006_Minot	57.3
'ROBUST'	Expt13_2006_Minot	55.8
'ROBUST'	Expt12_2006_NessonValley	49.2
'ROBUST'	Expt13_2006_NessonValley	49.1
'ROBUST'	Expt12_2006_Sidney	53
'ROBUST'	Expt13_2006_Sidney	52
'ROBUST'	Expt12_2006_Williston	55.7
'ROBUST'	Expt13_2006_Williston	55.2
'ROBUST'	CAP1_2007_Genesee	68
'ROBUST'	CAP2_2007_Genesee	68
'ROBUST'	CAP3_2007_Genesee	68
'ROBUST'	CAP1_2007_Pullman	58
'ROBUST'	CAP2_2007_Pullman	58
'ROBUST'	CAP3_2007_Pullman	59
'ROBUST'	FHBN_2006_Crookston07	53.5
'ROBUST'	FHBN_2006_Fargo	54.2
'ROBUST'	FHBN_2006_Langdon	50.2
'ROBUST'	CAP1_2008_Genesee	57
'ROBUST'	CAP2_2008_Genesee	59
'ROBUST'	CAP3_2008_Genesee	59
'ROBUST'	CAP1_2008_Pullman	66
'ROBUST'	CAP2_2008_Pullman	66
'ROBUST'	CAP3_2008_Pullman	66
'ROBUST'	CAPN2_2007_FortCollins	97
'ROBUST'	CAPMT_2007_FortCollins	94
'ROBUST'	CAPAB_2007_FortCollins	99
'ROBUST'	FHBN_2008_Crookston	33.5
'ROBUST'	FHBN_2007_Crookston	42.8
'ROBUST'	Expt41_2009_Fargo	58.7
'ROBUST'	Expt41_2009_Langdon	63.9
'ROBUST'	CAP1_2009_Pullman	61
'ROBUST'	CAP2_2009_Pullman	61
'ROBUST'	CAP3_2009_Pullman	61
'ROBUST'	NABSEN_2014_Osnabrock	
'ROBUST'	NABSEN_2014_Casselton	
'ROBUST'	NABSEN_2014_StPaul	175.333333333333
'ROBUST'	NABSEN_2014_Crookston	191
'ROBUST'	NABSEN_2016_Osnabrock	
'ROBUST'	NABSEN_2016_Casselton	
'ROBUST'	NABSEN_2016_Brandon	171.75
'ROBUST'	NABSEN_2016_StPaul	172
'ROBUST'	NABSEN_2016_Crookston	
'03WA-187.1'	CAP2_2006_Pullman	64
'04WA-108.38'	CAP2_2006_Pullman	62
'04WA-123.52'	CAP2_2006_Pullman	63
'04WA-108.12'	CAP2_2006_Pullman	61
'04WA-106.50'	CAP2_2006_Pullman	57
'03WA-119.4'	CAP2_2006_Pullman	63
'03WA-119.4'	CAPWUE_2012_NormN-Irr_Aberdeen	171
'03WA-119.4'	CAPWUE_2012_LowN-Irr_Aberdeen	169.999999999999
'03WA-119.4'	CAPWUE_2013_NormN-Irr_Aberdeen	170
'03WA-119.4'	CAPWUE_2013_LowN-Irr_Aberdeen	169
'04WA-118.11'	CAP2_2006_Pullman	62
'03WA-112.4'	CAP2_2006_Pullman	62
'04WA-109.13'	CAP2_2006_Pullman	61
'04WA-123.51'	CAP2_2006_Pullman	63
'04WA-123.51'	CAPWUE_2012_NormN-Irr_Aberdeen	171
'04WA-123.51'	CAPWUE_2012_LowN-Irr_Aberdeen	169.999999999999
'04WA-123.51'	CAPWUE_2013_NormN-Irr_Aberdeen	168
'04WA-123.51'	CAPWUE_2013_LowN-Irr_Aberdeen	165
'03WA-123.8'	CAP2_2006_Pullman	61
'03WA-136.19'	CAP2_2006_Pullman	63
'04WA-113.16'	CAP2_2006_Pullman	62
'04WA-113.36'	CAP2_2006_Pullman	61
'04WA-117.12'	CAP2_2006_Pullman	62
'04WA-102.21'	CAP2_2006_Pullman	61
'04WA-108.23'	CAP2_2006_Pullman	62
'04WA-123.50'	CAP2_2006_Pullman	64
'04WA-123.32'	CAP2_2006_Pullman	62
'04WNZ-88'	CAP2_2006_Pullman	63
'04WNZ-101'	CAP2_2006_Pullman	65
'04WNZ-101'	CAPWUE_2012_NormN-Irr_Aberdeen	169.5
'04WNZ-101'	CAPWUE_2012_LowN-Irr_Aberdeen	169.999999999999
'04WNZ-101'	CAPWUE_2013_NormN-Irr_Aberdeen	167
'04WNZ-101'	CAPWUE_2013_LowN-Irr_Aberdeen	165
'04WA-114.8'	CAP2_2006_Pullman	60
'04WA-123.46'	CAP2_2006_Pullman	62
'04WA-125.11'	CAP2_2006_Pullman	64
'04WA-101.43'	CAP2_2006_Pullman	62
'04WA-101.43'	CAPWUE_2012_NormN-Irr_Aberdeen	170
'04WA-101.43'	CAPWUE_2012_LowN-Irr_Aberdeen	167.999999999999
'04WA-101.43'	CAPWUE_2013_NormN-Irr_Aberdeen	166.5
'04WA-101.43'	CAPWUE_2013_LowN-Irr_Aberdeen	164
'04WA-102.43'	CAP2_2006_Pullman	62
'04WA-108.56'	CAP2_2006_Pullman	63
'04WA-113.31'	CAP2_2006_Pullman	62
'03WA-195.8'	CAP2_2006_Pullman	64
'04WA-127.4'	CAP2_2006_Pullman	63
'04WA-124.33'	CAP2_2006_Pullman	63
'04WA-124.33'	CAPWUE_2012_NormN-Irr_Aberdeen	169.5
'04WA-124.33'	CAPWUE_2012_LowN-Irr_Aberdeen	168.999999999999
'04WA-124.33'	CAPWUE_2013_NormN-Irr_Aberdeen	166.5
'04WA-124.33'	CAPWUE_2013_LowN-Irr_Aberdeen	165
'04WA-113.38'	CAP2_2006_Pullman	64
'04WA-101.45'	CAP3_2006_Pullman	62
'04WNZ-171'	CAP3_2006_Pullman	62
'04WA-101.47'	CAP3_2006_Pullman	62
'03WA-129.18'	CAP3_2006_Pullman	61
'04WA-101.34'	CAP3_2006_Pullman	62
'04WA-104.39'	CAP3_2006_Pullman	62
'04WA-114.40'	CAP3_2006_Pullman	61
'04WA-122.24'	CAP3_2006_Pullman	64
'03WA-109.7'	CAP3_2006_Pullman	60
'04WA-114.4'	CAP3_2006_Pullman	62
'04WA-104.17'	CAP3_2006_Pullman	62
'04WNZ-124'	CAP3_2006_Pullman	65
'04WA-123.39'	CAP3_2006_Pullman	63
'04WA-123.39'	CAPWUE_2012_NormN-Irr_Aberdeen	170
'04WA-123.39'	CAPWUE_2012_LowN-Irr_Aberdeen	168.999999999999
'04WA-123.39'	CAPWUE_2013_NormN-Irr_Aberdeen	164
'04WA-123.39'	CAPWUE_2013_LowN-Irr_Aberdeen	164
'04WA-119.2'	CAP3_2006_Pullman	64
'04WA-104.40'	CAP3_2006_Pullman	63
'03WA-124.1'	CAP3_2006_Pullman	63
'04WNZ-71'	CAP3_2006_Pullman	61
'04WA-123.22'	CAP3_2006_Pullman	64
'04WNZ-194'	CAP3_2006_Pullman	62
'04WA-123.4'	CAP3_2006_Pullman	63
'04WA-126.29'	CAP3_2006_Pullman	64
'04WA-127.20'	CAP3_2006_Pullman	62
'03WA-158.12'	CAP3_2006_Pullman	62
'04WA-114.35'	CAP3_2006_Pullman	62
'04WNZ-130'	CAP3_2006_Pullman	64
'04WNZ-128'	CAP3_2006_Pullman	62
'04WA-123.23'	CAP3_2006_Pullman	63
'04WA-120.24'	CAP3_2006_Pullman	64
'03WA-119.7'	CAP3_2006_Pullman	64
'03WA-119.7'	CAPWUE_2012_NormN-Irr_Aberdeen	171.5
'03WA-119.7'	CAPWUE_2012_LowN-Irr_Aberdeen	171.999999999999
'03WA-119.7'	CAPWUE_2013_NormN-Irr_Aberdeen	173.5
'03WA-119.7'	CAPWUE_2013_LowN-Irr_Aberdeen	171
'04WA-113.15'	CAP3_2006_Pullman	62
'04WA-108.15'	CAP3_2006_Pullman	63
'04WA-110.40'	CAP3_2006_Pullman	63
'2ND20798-12'	Expt12_2006_Carrington	58.3
'2ND20798-12'	Expt12_2006_Minot	56.8
'2ND20798-12'	Expt12_2006_NessonValley	49.39
'2ND20798-12'	Expt12_2006_Sidney	54
'2ND20798-12'	Expt12_2006_Williston	56.3
'2ND20798-12'	FHBN_2006_Crookston07	54.5
'2ND20798-12'	FHBN_2006_Fargo	55
'2ND20798-12'	FHBN_2006_Langdon	51
'2ND21089'	Expt12_2006_Carrington	55.6
'2ND21089'	Expt12_2006_Minot	54.3
'2ND21089'	Expt12_2006_NessonValley	46.37
'2ND21089'	Expt12_2006_Sidney	51
'2ND21089'	Expt12_2006_Williston	54
'2ND21089'	FHBN_2006_Crookston07	53.5
'2ND21089'	FHBN_2006_Fargo	48
'2ND21089'	FHBN_2006_Langdon	46
'PINNACLE'	Expt12_2006_Carrington	61
'PINNACLE'	Expt12_2006_Minot	57.7
'PINNACLE'	Expt12_2006_NessonValley	51.4
'PINNACLE'	Expt12_2006_Sidney	55
