line	trial	grain yield
'MT050117'	4706_2006_Bozeman	6037
'MT050117'	806_2006_Huntley	3505
'MT050117'	DroughtTrial_2006_Dryland	5382
'MT050117'	DroughtTrial_2006_Irrigated	5857
'MT050117'	PYT_2005_Huntley	4006.44
'MT050117'	CAPWUE_2011_Huntley	2640.71
'MT050117'	CAPWUE_2011_HighN_Bozeman	6617.51
'MT050117'	CAPWUE_2011_LowN_Bozeman	5994.91
'MT050117'	CAPWUE_2012_HighN_Bozeman	5499
'MT050117'	CAPWUE_2012_Huntley	3933
'MT050117'	CAPWUE_2012_LowN_Bozeman	1618
'MT050117'	SP2-NormN_2011_Crookston	5275.88
'MT050117'	CAPWUE_2012_NormN-Irr_Aberdeen	4987
'MT050117'	CAPWUE_2012_LowN-Irr_Aberdeen	5261.99999999996
'MT050117'	CAPWUE_2012_NormN-Dry_Aberdeen	1826
'MT050117'	CAPWUE_2013_LowN_Bozeman	5634.216
'MT050117'	CAPWUE_2013_HighN_Bozeman	7193.7504
'MT050117'	CAP2Row_Irr_2012_FtCollins	4961.23
'MT050117'	CAP2Row_Dry_2012_FtCollins	2563.73
'MT050117'	CAPWUE_2013_NormN-Irr_Aberdeen	7845.6459205
'MT050117'	CAPWUE_2013_LowN-Irr_Aberdeen	7595.935971
'MT050117'	CAPWUE_2013_NormN-Dry_Aberdeen	3899.66
'MT050118'	105_2006_Bozeman05	6574
'MT050118'	4706_2006_Bozeman	6277
'MT050118'	806_2006_Huntley	3742
'MT050118'	DroughtTrial_2006_Dryland	5038
'MT050118'	DroughtTrial_2006_Irrigated	4769
'MT050118'	PYT_2005_Huntley	3914.895
'MT050120'	105_2006_Bozeman05	6445
'MT050120'	4706_2006_Bozeman	6349
'MT050120'	806_2006_Huntley	4003
'MT050120'	DroughtTrial_2006_Dryland	4221
'MT050120'	DroughtTrial_2006_Irrigated	5910
'MT050120'	PYT_2005_Huntley	3511.02
'MT050121'	105_2006_Bozeman05	6378
'MT050121'	4706_2006_Bozeman	7095
'MT050121'	806_2006_Huntley	3683
'MT050121'	DroughtTrial_2006_Dryland	5200
'MT050121'	DroughtTrial_2006_Irrigated	5215
'MT050121'	PYT_2005_Huntley	3747.96
'MT050124'	105_2006_Bozeman05	5856
'MT050124'	4706_2006_Bozeman	6336
'MT050124'	806_2006_Huntley	3505
'MT050124'	DroughtTrial_2006_Dryland	4427
'MT050124'	DroughtTrial_2006_Irrigated	4924
'MT050124'	PYT_2005_Huntley	4006.44
'MT050124'	CAPWUE_2011_Huntley	2643.82
'MT050124'	CAPWUE_2011_HighN_Bozeman	5929.22
'MT050124'	CAPWUE_2011_LowN_Bozeman	5268.84
'MT050124'	CAPWUE_2012_HighN_Bozeman	5091
'MT050124'	CAPWUE_2012_Huntley	4983
'MT050124'	CAPWUE_2012_LowN_Bozeman	1525
'MT050124'	SP2-NormN_2011_Crookston	6620.06
'MT050124'	CAPWUE_2012_NormN-Irr_Aberdeen	6926.50000000001
'MT050124'	CAPWUE_2012_LowN-Irr_Aberdeen	6670.00000000002
'MT050124'	CAPWUE_2012_NormN-Dry_Aberdeen	2978
'MT050124'	CAPWUE_2013_LowN_Bozeman	5631.8205
'MT050124'	CAPWUE_2013_HighN_Bozeman	5472.9432
'MT050124'	CAP2Row_Irr_2012_FtCollins	7000.88
'MT050124'	CAP2Row_Dry_2012_FtCollins	4561.02
'MT050124'	CAPWUE_2013_NormN-Irr_Aberdeen	7211.41368849996
'MT050124'	CAPWUE_2013_LowN-Irr_Aberdeen	7446.29809900001
'MT050124'	CAPWUE_2013_NormN-Dry_Aberdeen	3948.53
'MT050142'	105_2006_Bozeman05	5867
'MT050142'	4706_2006_Bozeman	6699
'MT050142'	806_2006_Huntley	4070
'MT050142'	DroughtTrial_2006_Dryland	3656
'MT050142'	DroughtTrial_2006_Irrigated	4731
'MT050142'	PYT_2005_Huntley	3688.725
'MT050144'	105_2006_Bozeman05	5956
'MT050144'	4706_2006_Bozeman	6366
'MT050144'	806_2006_Huntley	3478
'MT050144'	DroughtTrial_2006_Dryland	4111
'MT050144'	DroughtTrial_2006_Irrigated	4565
'MT050144'	PYT_2005_Huntley	3511.02
'MT050144'	CAPWUE_2011_Huntley	3226.26
'MT050144'	CAPWUE_2011_HighN_Bozeman	7614.27
'MT050144'	CAPWUE_2011_LowN_Bozeman	6843.42
'MT050144'	CAPWUE_2012_HighN_Bozeman	5858
'MT050144'	CAPWUE_2012_Huntley	4541
'MT050144'	CAPWUE_2012_LowN_Bozeman	1701
'MT050144'	SP2-NormN_2011_Crookston	5504.39
'MT050144'	CAPWUE_2012_NormN-Irr_Aberdeen	7413.49999999996
'MT050144'	CAPWUE_2012_LowN-Irr_Aberdeen	7821.00000000001
'MT050144'	CAPWUE_2012_NormN-Dry_Aberdeen	4039
'MT050144'	CAPWUE_2013_LowN_Bozeman	4683.2025
'MT050144'	CAPWUE_2013_HighN_Bozeman	4012.8208
'MT050144'	CAP2Row_Irr_2012_FtCollins	6689.83
'MT050144'	CAP2Row_Dry_2012_FtCollins	4050.37
'MT050144'	CAPWUE_2013_NormN-Irr_Aberdeen	7436.3489125
'MT050144'	CAPWUE_2013_LowN-Irr_Aberdeen	6933.33220100001
'MT050144'	CAPWUE_2013_NormN-Dry_Aberdeen	3880.12
'MT050149'	105_2006_Bozeman05	6784
'MT050149'	4706_2006_Bozeman	6164
'MT050149'	806_2006_Huntley	3169
'MT050149'	DroughtTrial_2006_Dryland	5536
'MT050149'	DroughtTrial_2006_Irrigated	5461
'MT050149'	PYT_2005_Huntley	4076.445
'MT050150'	105_2006_Bozeman05	6661
'MT050150'	4706_2006_Bozeman	6418
'MT050150'	806_2006_Huntley	4073
'MT050150'	DroughtTrial_2006_Dryland	5166
'MT050150'	DroughtTrial_2006_Irrigated	5060
'MT050150'	PYT_2005_Huntley	3484.095
'MT050151'	105_2006_Bozeman05	6152
'MT050151'	4706_2006_Bozeman	7195
'MT050151'	806_2006_Huntley	3094
'MT050151'	DroughtTrial_2006_Dryland	4799
'MT050151'	DroughtTrial_2006_Irrigated	5392
'MT050151'	PYT_2005_Huntley	3171.765
'MT050151'	CAPWUE_2011_Huntley	2790.16
'MT050151'	CAPWUE_2011_HighN_Bozeman	6715.32
'MT050151'	CAPWUE_2011_LowN_Bozeman	4751.88
'MT050151'	CAPWUE_2012_HighN_Bozeman	5048
'MT050151'	CAPWUE_2012_Huntley	3771
'MT050151'	CAPWUE_2012_LowN_Bozeman	1646
'MT050151'	SP2-NormN_2011_Crookston	6754.47
'MT050151'	CAPWUE_2012_NormN-Irr_Aberdeen	6469
'MT050151'	CAPWUE_2012_LowN-Irr_Aberdeen	6416.99999999998
'MT050151'	CAPWUE_2012_NormN-Dry_Aberdeen	3114
'MT050151'	CAPWUE_2013_LowN_Bozeman	5689.3125
'MT050151'	CAPWUE_2013_HighN_Bozeman	5936.8088
'MT050151'	CAP2Row_Irr_2012_FtCollins	6973.69
'MT050151'	CAP2Row_Dry_2012_FtCollins	2356.53
'MT050151'	CAPWUE_2013_NormN-Irr_Aberdeen	7345.23580600002
'MT050151'	CAPWUE_2013_LowN-Irr_Aberdeen	7385.82492
'MT050151'	CAPWUE_2013_NormN-Dry_Aberdeen	4231.97
'MT050153'	105_2006_Bozeman05	6499
'MT050153'	4706_2006_Bozeman	6342
'MT050153'	806_2006_Huntley	3672
'MT050153'	DroughtTrial_2006_Dryland	5756
'MT050153'	DroughtTrial_2006_Irrigated	5693
'MT050153'	PYT_2005_Huntley	4076.445
'MT050154'	105_2006_Bozeman05	6249
'MT050154'	4706_2006_Bozeman	6040
'MT050154'	806_2006_Huntley	3753
'MT050154'	DroughtTrial_2006_Dryland	4966
'MT050154'	DroughtTrial_2006_Irrigated	5869
'MT050154'	PYT_2005_Huntley	3096.375
'MT050157'	105_2006_Bozeman05	6195
'MT050157'	4706_2006_Bozeman	6826
'MT050157'	806_2006_Huntley	4032
'MT050157'	DroughtTrial_2006_Dryland	5038
'MT050157'	DroughtTrial_2006_Irrigated	5677
'MT050157'	PYT_2005_Huntley	3677.955
'MT050158'	105_2006_Bozeman05	6144
'MT050158'	4706_2006_Bozeman	6396
'MT050158'	806_2006_Huntley	4358
'MT050158'	DroughtTrial_2006_Dryland	5138
'MT050158'	DroughtTrial_2006_Irrigated	5047
'MT050158'	PYT_2005_Huntley	3758.73
'MT050163'	105_2006_Bozeman05	5848
'MT050163'	4706_2006_Bozeman	6524
'MT050163'	806_2006_Huntley	4032
'MT050163'	DroughtTrial_2006_Dryland	5025
'MT050163'	DroughtTrial_2006_Irrigated	5316
'MT050163'	PYT_2005_Huntley	4038.75
'MT050165'	105_2006_Bozeman05	6319
'MT050165'	4706_2006_Bozeman	6493
'MT050165'	806_2006_Huntley	3788
'MT050165'	DroughtTrial_2006_Dryland	4615
'MT050165'	DroughtTrial_2006_Irrigated	5793
'MT050165'	PYT_2005_Huntley	4361.85
'MT050166'	105_2006_Bozeman05	6383
'MT050166'	4706_2006_Bozeman	6693
'MT050166'	806_2006_Huntley	3833
'MT050166'	DroughtTrial_2006_Dryland	4385
'MT050166'	DroughtTrial_2006_Irrigated	5029
'MT050166'	PYT_2005_Huntley	4038.75
'MT050169'	105_2006_Bozeman05	6652
'MT050169'	4706_2006_Bozeman	6419
'MT050169'	806_2006_Huntley	4159
'MT050169'	DroughtTrial_2006_Dryland	4559
'MT050169'	DroughtTrial_2006_Irrigated	5937
'MT050169'	PYT_2005_Huntley	3791.04
'MT050169'	CAPWUE_2011_Huntley	2426.18
'MT050169'	CAPWUE_2011_HighN_Bozeman	7054.41
'MT050169'	CAPWUE_2011_LowN_Bozeman	5658.86
'MT050169'	CAPWUE_2012_HighN_Bozeman	6595
'MT050169'	CAPWUE_2012_Huntley	3916
'MT050169'	CAPWUE_2012_LowN_Bozeman	1963
'MT050169'	SP2-NormN_2011_Crookston	4476.10
'MT050169'	CAPWUE_2012_NormN-Irr_Aberdeen	4706
'MT050169'	CAPWUE_2012_LowN-Irr_Aberdeen	5150.99999999999
'MT050169'	CAPWUE_2012_NormN-Dry_Aberdeen	4063
'MT050169'	CAPWUE_2013_LowN_Bozeman	6378.2583
'MT050169'	CAPWUE_2013_HighN_Bozeman	7372.0128
'MT050169'	CAP2Row_Irr_2012_FtCollins	6555.85
'MT050169'	CAP2Row_Dry_2012_FtCollins	3591.90
'MT050169'	CAPWUE_2013_NormN-Irr_Aberdeen	8112.37364200002
'MT050169'	CAPWUE_2013_LowN-Irr_Aberdeen	8005.67501200007
'MT050169'	CAPWUE_2013_NormN-Dry_Aberdeen	5033.40
'MT050170'	105_2006_Bozeman05	6636
'MT050170'	4706_2006_Bozeman	6387
'MT050170'	806_2006_Huntley	3441
'MT050170'	DroughtTrial_2006_Dryland	5144
